Ip;datetime;Method HTTP;URL;code_status;
66.249.64.10;2023-10-14 04:30:01;GET;/assets/fontawesome/css/fontawesome.min.css;200;
66.249.64.8;2023-10-14 04:30:02;GET;/assets/vendor/icofont/icofont.min.css;200;
66.249.64.8;2023-10-14 04:30:02;GET;/assets/vendor/boxicons/css/boxicons.min.css;200;
66.249.64.9;2023-10-14 04:30:03;GET;/assets/fontawesome/css/fontawesome.css;200;
66.249.64.8;2023-10-14 04:30:03;GET;/assets/vendor/bootstrap/js/bootstrap.bundle.min.js;200;
66.249.64.8;2023-10-14 04:30:04;GET;/assets/vendor/aos/aos.css;200;
66.249.64.9;2023-10-14 04:30:04;GET;/assets/css/card.css;200;
66.249.64.9;2023-10-14 04:30:05;GET;/assets/js/main.js;200;
66.249.64.8;2023-10-14 04:30:05;GET;/assets/vendor/venobox/venobox.min.js;200;
66.249.64.8;2023-10-14 04:30:05;GET;/assets/vendor/isotope-layout/isotope.pkgd.min.js;200;
66.249.64.8;2023-10-14 04:30:06;GET;/assets/vendor/counterup/counterup.min.js;200;
66.249.64.8;2023-10-14 04:30:06;GET;/assets/vendor/jquery.easing/jquery.easing.min.js;200;
66.249.64.9;2023-10-14 04:30:07;GET;/assets/vendor/jquery/jquery.min.js;200;
66.249.64.8;2023-10-14 04:30:07;GET;/assets/vendor/aos/aos.js;200;
66.249.64.8;2023-10-14 04:30:08;GET;/assets/vendor/owl.carousel/owl.carousel.min.js;200;
66.249.64.8;2023-10-14 04:30:08;GET;/assets/css/style.css;200;
66.249.64.8;2023-10-14 04:30:09;GET;/assets/fontawesome/css/all.css;200;
137.116.141.77;2023-10-14 04:31:05;GET;/wp-login.php;301;
137.116.141.77;2023-10-14 04:31:06;GET;/wp-login.php;502;
83.97.73.87;2023-10-14 04:37:29;GET;/?XDEBUG_SESSION_START=phpstorm;404;
3.84.125.222;2023-10-14 04:44:00;GET;/;301;
3.84.125.222;2023-10-14 04:44:02;GET;/;301;
3.84.125.222;2023-10-14 04:44:03;GET;/?u=www.chatgpt;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/bootstrap.min.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/et-lineicons.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/font-awesome.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/magnific-popup.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/owl.carousel.min.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/owl.theme.default.min.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/aos.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/style.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/wdcss.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/bootstrap/css/style.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/css/pinegram.min.css;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/jquery-3.0.0.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/jquery-migrate-3.0.0.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/popper.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/bootstrap.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/scrollIt.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/jquery.waypoints.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/owl.carousel.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/jquery.magnific-popup.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/jquery.stellar.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/isotope.pkgd.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/validator.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/particles.min.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/autotype.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/aos.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/wscript.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/scripts.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/js/proj.js;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/img/loader.gif;200;
3.84.125.222;2023-10-14 04:44:03;GET;/libs/img/iteams.png;200;
3.84.125.222;2023-10-14 04:44:04;GET;/libs/fonts/et-line.woff;200;
3.84.125.222;2023-10-14 04:44:04;GET;/libs/fonts/fontawesome-webfont-v%3d4.6.3.woff2;200;
45.125.239.179;2023-10-14 04:48:59;GET;/wp-login.php;301;
45.125.239.179;2023-10-14 04:49:01;GET;/wp-login.php;404;
205.210.31.11;2023-10-14 04:55:41;GET;/;301;
205.210.31.11;2023-10-14 04:55:41;GET;/;502;
40.77.167.230;2023-10-14 04:55:46;GET;/;200;
95.179.188.135;2023-10-14 04:55:56;GET;/;301;
170.64.196.210;2023-10-14 05:03:14;GET;/.git/config;404;
170.64.196.210;2023-10-14 05:03:15;GET;/.git/config;404;
83.143.116.3;2023-10-14 05:05:15;GET;/wp-login.php;301;
83.143.116.3;2023-10-14 05:05:16;GET;/wp-login.php;404;
173.214.166.170;2023-10-14 05:12:49;GET;/;404;
152.32.233.30;2023-10-14 05:13:54;GET;/;404;
198.235.24.194;2023-10-14 05:16:42;GET;/;200;
3.91.29.0;2023-10-14 05:18:30;GET;/;301;
3.91.29.0;2023-10-14 05:18:31;GET;/;301;
3.91.29.0;2023-10-14 05:18:32;GET;/?u=chatgpt;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/bootstrap.min.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/et-lineicons.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/font-awesome.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/magnific-popup.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/owl.carousel.min.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/owl.theme.default.min.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/aos.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/style.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/wdcss.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/bootstrap/css/style.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/css/pinegram.min.css;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/jquery-3.0.0.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/jquery-migrate-3.0.0.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/popper.min.js;200;
